Air Pollution (PM2.5) - Population weighted exposure to PM2.5 (micro-grams per cubic meter),,,,,,,,,,,,,
Source: Boys et al. (2014); Aaron van Donkelaar (submitted).,,,,,,,,,,,,,
Notes: NA = Not Applicable,,,,,,,,,,,,,
,,,,,,,,,,,,,
Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Saint Lucia,2.64,2.64,2.08,2.1,2.49,2.74,2.76,2.8,2.69,2.6,2.66,2.76,2.78
Saint Pierre and Miquelon,4.62,4.5,3.65,3.94,3.95,3.75,3.63,3.76,3.58,3.47,3.24,3.2,3.1
Saint Vincent and the Grenadines,2.45,2.45,1.8,1.8,2.05,2.3,2.5,2.45,2.4,2.35,2.35,2.25,2.25
Samoa,1.25,1.21,1.49,1.44,1.36,1.35,1.36,1.37,1.37,1.38,1.44,1.45,1.45
San Marino,12.4,12.39,12.51,14.06,14.41,14.22,12.97,10.22,9.64,9.64,9.41,9.25,9.14
Sao Tome and Principe,3.97,3.96,3.49,3.58,3.77,4.78,4.84,4.2,3.66,3.43,3.09,3.04,2.85
Saudi Arabia,8.65,8.3,9.61,9.74,9.94,10.09,10.15,10.64,11.34,11.58,11.78,11.56,11.88
Senegal,5.52,5.49,4.78,5.55,5.56,5.61,5.65,5.59,4.96,4.54,4.7,4.77,4.48
Serbia,15.49,15.46,16.02,16.68,16.19,16.86,17.61,17.53,14.05,13.5,13.5,14.85,13.98
Seychelles,0.92,0.91,0.95,0.96,0.98,1.02,1.05,1.06,1.04,1.05,0.93,0.94,0.94
Sierra Leone,6.87,6.86,6.87,7.58,7.44,6.85,6.58,6.3,5.28,4.65,4.67,4.44,4.11
Singapore,4.58,0.03,3.88,3.67,4.17,5.22,5.86,5.65,5.2,4.26,4.51,4.55,5.16
Slovakia,17.59,17.58,16.45,17.42,17.21,17.43,17.69,17.47,14.61,14.05,14.14,15.31,15.1
Slovenia,17.62,17.54,16.98,17.22,16.86,17.16,18.1,17.76,12.35,12.36,12.85,14.37,13.69
Solomon Islands,1.54,1.4,1.67,1.73,1.91,1.98,2.1,2.01,2.21,2.35,2.11,2.22,2.07
Somalia,4.36,4.18,4.64,4.83,5.02,4.9,5.13,5.1,5.3,5.26,5.32,5.33,5.48
South Africa,5.7,5.66,5.96,5.63,5.57,5.69,6.13,6.11,6.26,6.4,6.73,6.46,6.24
South Korea,19.93,19.92,20.97,22.08,22.4,23.19,22.74,23.49,22.86,21.81,20.3,20.15,19.9
Spain,10.52,10.49,9.93,9.66,9.54,9.23,8.88,8.62,8.1,8.09,7.98,7.93,7.86
Sri Lanka,5.32,5.18,5.87,6.09,6.58,6.88,7.57,8.19,8.42,8.82,9.12,8.96,9.17
State of Palestine,11.86,11.86,12.47,11.98,12.4,12.3,12.61,11.71,11.99,11.88,12.05,12.12,13.13
Sudan,4.91,4.83,4.97,5.1,5.18,5.22,5.2,5.4,5.5,5.58,5.64,5.41,5.24
Suriname,4.47,1.4,2.58,2.78,3.3,3.39,3.2,3.1,3.18,2.75,3.35,2.69,2.78
Svalbard and Jan Mayen Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swaziland,5.82,5.79,5.79,5.48,5.48,6.12,6.5,6.54,6.7,6.75,7.01,6.26,6.2
Sweden,7.46,7.32,7.09,7.5,7.24,7.65,8.07,8.11,6.83,6.49,6.6,6.84,6.49
Switzerland,11.8,11.18,13.19,14.3,14.46,15.36,16.81,15.14,11.76,11.46,12.18,13.08,14.2
Syria,15.23,15.16,14.3,13.66,13.85,13.96,14.35,14.94,15.78,16.46,16.17,15.89,15.91
Taiwan,13.69,11.64,13.69,14.57,15.73,16.39,15.54,15.22,15.35,14.95,13.98,14.07,14.57
Tajikistan,9.96,9.39,11.48,11.43,10.8,11.09,11.19,12.19,13.06,13.32,13.32,12.94,13.16
Tanzania,4.12,4.05,3.73,4.06,4.39,4.74,4.71,5,5.05,5.25,5.06,5.16,5.39
Thailand,13.76,12.82,12.71,12.89,13.44,13.88,14.4,14.57,14.09,13.95,13.75,14.05,14.6
Timor-Leste,2.86,2.82,3.04,2.83,2.76,2.71,2.78,2.76,2.83,3.03,2.97,2.95,2.87
Togo,8.38,8.37,7.64,7.52,7.94,8.24,8.53,7.99,7.93,8.08,8.41,8.14,7.45
Tokelau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tonga,1.44,1.43,1.49,1.49,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.53,1.57
Trinidad and Tobago,2.23,2.22,2.13,2.24,2.28,2.44,2.38,2.4,2.28,2.3,2.66,3.02,2.98
Tunisia,8.47,8.45,9.68,9.55,9.61,8.93,8.21,7.66,7.27,7.35,7.72,8.22,7.68
Turkey,11.32,10.71,11.3,11.8,11.84,11.87,12.26,12.25,11.76,11.74,11.58,12.45,12.14
Turkmenistan,7.86,7.71,8.33,8.03,6.74,6.59,7.28,7.7,7.8,7.62,7.35,7.57,8.39
Turks and Caicos Islands,5.13,4.83,4.73,4.8,4.75,4.89,5.03,5.44,4.74,5,5.05,5.19,5.07
Tuvalu,4.01,3.9,4.31,4.31,4.21,4.01,4.11,4.01,3.91,3.91,3.91,3.81,3.81
Uganda,8.22,7.89,6.35,6.79,7.53,7.92,7.81,8.24,7.55,7.36,7.09,7.46,7.79
Ukraine,14.11,14.09,15.39,15.74,15.02,14.92,16,15.56,13.19,12.52,12.48,12.97,11.95
United Arab Emirates,6.98,6.93,9.72,10.13,10.31,10.42,10.87,11.05,11.68,11.92,11.89,11.53,11.68
United Kingdom,12.16,12.1,12.14,12.61,12.34,11.21,9.96,9.81,9.45,9.12,8.92,8.91,8.68
United States of America,11.09,10.97,11.07,11.19,10.96,10.66,10.18,9.94,9.46,8.9,8.2,7.94,7.47
United States Virgin Islands,4.12,4.12,4.1,4.33,4.24,4.93,5.15,5.22,5.05,4.83,5.01,5.28,5.42
Uruguay,3.91,3.82,3.86,3.63,3.61,3.69,3.96,3.94,4.19,3.95,3.75,3.75,3.92
Uzbekistan,10.82,10.68,10.94,10.28,9.87,10.05,10.39,11.7,11.53,11.67,11.44,11.94,12.64
Vanuatu,2.11,1.97,2.26,2.16,2.06,1.96,1.85,1.77,1.74,1.78,1.8,1.83,1.8
Venezuela,6.02,3.72,5.07,5.55,5.49,6.24,5.83,5.7,5.2,5.03,5.42,5.9,6.18
Viet Nam,15.41,15.25,13,13.54,13.85,15.23,16.42,17.41,17.61,18.27,18.28,18.22,17.87
Wallis and Futuna Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
